East Asia & Pacific (excluding high income),EAP,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,10969859,7076843,5361166,5109337,5388822,5185185,5220528,5817214,6667306,7798933,8580760,,7511571,5701863,5287715,4623051,2443502,2648598,2778048,4636878,4903592,3813888,3678411,3320921,2975856,2580154,2809034,2961459,2993418,,
Early-demographic dividend,EAR,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,40796112,42090832,41119648,39747264,40766616,39589408,39199068,38469008,40394716,40963988,40294264,39953312,38939112,38435992,37932156,38471672,37909264,39391100,38151360,36236816,36936404,36905476,37243000,36439448,35226436,35842856,34929556,35224556,35391300,33983780,31354044,29739444,28541610,22544592,20410874,18293028,16471881,13531964,12556975,12036512,11227705,10511367,10435472,9987130,10270013,,
East Asia & Pacific,EAS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,14900030,11047993,7127720,5403832,5151716,5442034,5250106,5290394,5908374,6746412,7891425,8666863,,7603272,5781450,5362776,4708577,2533860,2718400,2844816,4697266,4960987,3863703,3726941,3380772,3041212,2635237,2867453,3055246,3086232,,
Europe & Central Asia (excluding high income),ECA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836446,991044,1042918,1121723,1115938,1198935,1111669,1007593,827748,600668,446221,489661,442667,627776,594119,554540,533995,551455,504836,485938,516727,495048,538289,,
Europe & Central Asia,ECS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,2185344,2168430,2119099,1989957,1956728,1933838,1871732,1891539,2046447,2011003,2048891,1812197,1813525,1652828,1586046,1440250,1505489,1475151,1366102,1427778,1543836,1611313,1659277,1593866,1540254,1289075,1163655,973582,741082,599874,667794,672664,859836,814528,772642,706674,716600,639105,623363,638992,622427,691112,,
Ecuador,ECU,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,103230,,106672,102944,106842,106876,92438,84048,68605,78231,,,,,,,,,,,,,,57750,55751,47585,29034,24589,25641,21169,8812,,,,,,,,12694,20473,,,20828,8244,9383,7538
"Egypt, Arab Rep.",EGY,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,1289344,1311342,1342975,,,,,1326148,,,,,,,,,,,,,,,,816070,,,742991,,705435,579451,480957,388975,296144,179822,,,,,,,,27909,,33219,,
Euro area,EMU,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,489905,495049,480061,490615,446769,425341,383120,380163,343148,311923,303821,289792,312703,361815,372659,361063,280980,260663,240581,230552,250630,247367,293871,294862,334029,288900,221752,158381,75737,53677,48984,57124,63003,81091,104963,114143,111617,88835,83578,79356,72336,82119,69231,73023,96690,,
Eritrea,ERI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188718,,192708,195283,196466,197874,,189431,177036,171383,158180,145762,138889,134400,135027,147507,159019,171279,183321,184897,186120,205607,212372,223623,
Spain,ESP,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,86715,63233,51327,,,,,17310,12485,,,,,,,,,19597,9110,11614,,3050,,,,,,,1048,178,776,690,1119,2043,4852,4423,1837,819,1040,2002,2011,1809,3529,11486,4907,
Estonia,EST,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045,6499,,,10,13,13,,927,1287,1461,1672,1142,1369,1503,481,81,66,209,1521,1681,
Ethiopia,ETH,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558422,2635974,2748673,,,,,3751628,3826832,3806033,,3690367,3635695,3497131,3342293,3302575,3350457,3244754,2646058,2391974,2116440,1788760,1822672,2014672,1777390,1705794,,1275983,1335613,
European Union,EUU,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,741287,740748,721763,757445,719546,715197,680278,687442,670308,661693,646442,673548,665071,715627,727279,749749,673183,626192,611520,648918,698651,729012,781541,724991,678059,615102,534852,401290,211884,205528,195239,188750,187329,195376,236922,245253,244150,238892,195933,189345,161032,169522,162674,177147,202346,,
Fragile and conflict affected situations,FCS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,7937266,8138455,8213292,8176378,8428201,8532444,8535913,8529366,8632817,8435075,8158100,7948253,8258043,8330211,8457834,8715204,8738338,9115214,9235996,9738661,10407879,9817705,10149787,10308278,10379704,10598223,11097652,11508083,11727125,12076450,12170238,11954489,11498814,10990726,10763002,10815756,10592093,10447875,9982224,10081841,10034085,9895442,9336851,9589016,9509766,,
Finland,FIN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,2225,2871,2267,2034,1004,,,334,862,2392,4223,4632,5293,4424,4165,3952,3456,2896,1259,333,196,193,
Fiji,FJI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816,,1568,2270,3797,3564,2918,2955,2800,1043,,51,325,,220,,,171,,,,780,,802,
France,FRA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,40450,37486,,,,,,,,,,28006,67701,,76428,25497,,,,,,7339,38281,44357,25802,5936,6515,,3250,3497,3595,3425,7177,12868,9877,12937,13135,13763,11057,10704,10124,10181,7010,6756,,
Faroe Islands,FRO,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,1013,
Gabon,GAB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7884,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,50341,78610,105342,116655,114517,106349,96494,91527,84940,50059,49946,68294,101643,111870,128143,94239,35378,2708,,,32331,67609,,,,,,3817,510,377,,3329,304,13804,203,2741,42954,19799,26465,11728,4775,5557,,,,
Georgia,GEO,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28880,26681,25716,,,,,,,21412,17719,6851,8644,,,,,,,,,
Ghana,GHA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559193,514910,598331,568872,589650,,536072,540734,449966,364546,398962,,283703,,241632,199242,166688,222539
Gibraltar,GIB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,293172,297943,312250,329653,338735,352252,370409,380733,,,,,,,456041,447066,428539,409802,368221,347189,328789,315672,299962,290887,307667,306622,305808,271472,284518,284935,260689,,
"Gambia, The",GMB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,24831,26316,27470,28836,30209,31690,30691,29744,30756,30675,28602,28657,28281,27827,27777,28867,,,,,,47762,47034,,,41441,,38451,28360,29921,28337,31249,26109,25306,28529,24254,25079,30975,,37779,38583,35872,43426,39847,36118,33385
Guinea-Bissau,GNB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,45011,43332,,45840,46706,,52423,54922,,,,,,,,,,,,64302,,,,,,,,,,39845,,,,,,
Equatorial Guinea,GNQ,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616,,,,,,14138,11163,12431,12571,,,,,23702,24181,24445,23638,22806,,,25211,
Greece,GRC,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,11190,10144,8564,6693,10269,12962,17241,20178,22545,25994,11756,6757,,,,,10181,9202,14411,17953,17801,21947,29242,32562,26146,33685,33707,11429,10056,5415,7787,7700,7453,10224,12724,13799,11357,,,6934,8330,8394,10292,12627,,
Grenada,GRD,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,1845,,,,,197,,,479,769,1013,997,766,,,,,,,,,,,,,,,,,,359,,105,629,,423,240,49,,,,97,170,152,
Greenland,GRL,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
