neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Universidad,40.422869253985205,-3.7027089318875297,Entire home/apt,110,2,19,0.63,1,357
Tetuán,Almenara,40.471405186545795,-3.68975537114307,Private room,20,1,26,1.27,1,279
Chamberí,Rios Rosas,40.440460103968896,-3.70070151751234,Private room,35,1,0,0.0,1,364
San Blas - Canillejas,Simancas,40.431234592115295,-3.6232985999436003,Private room,25,1,3,1.96,2,162
Centro,Sol,40.4189812768249,-3.70753592180766,Entire home/apt,92,3,49,6.53,3,69
Latina,Puerta del Angel,40.408593904641705,-3.7305197640087497,Private room,16,1,4,1.07,1,85
Retiro,Ibiza,40.41754748319121,-3.67736640514692,Entire home/apt,60,4,34,1.71,1,3
Centro,Universidad,40.422023603317,-3.70803702295061,Entire home/apt,84,2,35,6.0,1,295
Usera,Zofío,40.3777793262512,-3.71390123564865,Private room,25,1,15,1.89,2,365
Arganzuela,Palos de Moguer,40.4060923487643,-3.6976194822100097,Private room,19,1,138,8.96,3,113
Moncloa - Aravaca,Casa de Campo,40.420719834016296,-3.71850499907094,Private room,70,3,12,2.73,1,324
Centro,Embajadores,40.41114451245021,-3.7071172158161896,Entire home/apt,100,2,5,2.38,2,91
Chamberí,Rios Rosas,40.4398055155129,-3.69796885823419,Private room,22,1,25,3.83,1,334
Centro,Cortes,40.4109919171251,-3.69504998526073,Entire home/apt,89,1,1,0.77,29,349
Centro,Embajadores,40.4098879196275,-3.6995503786947594,Entire home/apt,45,2,22,1.1,1,93
Salamanca,Goya,40.423247029640706,-3.67514860355337,Entire home/apt,180,4,3,1.88,1,290
Centro,Universidad,40.423106064058,-3.7046449355667,Entire home/apt,85,2,30,2.3,2,327
San Blas - Canillejas,Simancas,40.438691454235894,-3.6184663038765095,Entire home/apt,80,3,12,0.45,2,231
Moncloa - Aravaca,Argüelles,40.428869107930105,-3.71753752364632,Entire home/apt,60,15,38,2.14,2,129
Barajas,Casco Histórico de Barajas,40.4741853554229,-3.5764607429939503,Private room,37,2,63,1.14,3,360
Centro,Palacio,40.4164565296948,-3.7109975230289503,Entire home/apt,155,3,4,0.71,18,302
Centro,Embajadores,40.4121445696787,-3.7038153861670797,Entire home/apt,120,6,0,0.0,1,0
Latina,Puerta del Angel,40.4082471563864,-3.73260601143448,Private room,26,2,114,4.83,1,117
Chamberí,Almagro,40.4382157259924,-3.69819982432002,Private room,27,1,60,3.05,2,307
Moncloa - Aravaca,Argüelles,40.4231557773214,-3.7149241479184596,Entire home/apt,79,5,12,0.68,1,307
Chamartín,Hispanoamérica,40.4564998998664,-3.6698473039038197,Private room,50,2,26,1.01,1,346
Centro,Palacio,40.4163205899824,-3.70935482699469,Private room,33,2,104,5.27,2,19
Centro,Palacio,40.416852864815795,-3.71156475218871,Entire home/apt,149,3,0,0.0,77,224
Centro,Palacio,40.4158259976103,-3.7087065089518703,Entire home/apt,104,2,5,0.67,3,185
Centro,Embajadores,40.407872877544605,-3.69595357939562,Private room,21,3,6,0.28,1,0
Centro,Universidad,40.423787934555605,-3.7039571665135496,Private room,50,2,0,0.0,1,365
Chamberí,Trafalgar,40.431961169007295,-3.69739601338249,Entire home/apt,60,1,4,1.21,1,73
Villa de Vallecas,Casco Histórico de Vallecas,40.3620749487774,-3.5884486698084106,Entire home/apt,70,3,3,0.13,1,0
Centro,Embajadores,40.411927112300205,-3.7039842920737702,Private room,43,1,2,0.37,8,358
Centro,Sol,40.417918323135,-3.7001781495296204,Entire home/apt,95,2,3,0.43,2,359
Centro,Universidad,40.4232464114081,-3.7012117998544802,Entire home/apt,60,2,10,1.18,1,16
Centro,Justicia,40.4220817726191,-3.6964034643365897,Entire home/apt,120,2,4,0.39,15,313
Arganzuela,Palos de Moguer,40.404081387744704,-3.69472172333361,Entire home/apt,71,6,10,0.4,5,113
Centro,Justicia,40.4272461320244,-3.70119653641046,Entire home/apt,145,2,4,0.82,1,354
Centro,Embajadores,40.4095589898011,-3.70959365431756,Private room,27,1,1,0.06,2,0
Centro,Embajadores,40.409936890764705,-3.69504975675683,Entire home/apt,180,2,5,0.4,145,311
Chamberí,Rios Rosas,40.4441070108973,-3.69970847614968,Entire home/apt,160,4,0,0.0,1,65
Centro,Embajadores,40.4096206479174,-3.7031777349599904,Entire home/apt,50,2,55,5.63,7,297
Puente de Vallecas,Entrevías,40.386534423909104,-3.67325153253035,Private room,40,1,3,0.1,1,365
Chamartín,El Viso,40.451411434828294,-3.6815780562125298,Private room,35,3,4,0.25,1,364
Carabanchel,Opañel,40.3899088337955,-3.7283526639598197,Private room,18,1,7,0.55,1,17
Chamberí,Trafalgar,40.430260853637705,-3.70361737543069,Private room,40,1,0,0.0,1,365
Moncloa - Aravaca,Argüelles,40.4234058846677,-3.7118525914849596,Shared room,11,1,1,0.16,29,179
San Blas - Canillejas,Rosas,40.4329185196705,-3.60596411069023,Shared room,18,1,5,0.46,1,365
Salamanca,Guindalera,40.431368700425296,-3.6694988139360203,Entire home/apt,75,2,4,3.43,2,165
Centro,Embajadores,40.4089799097453,-3.70187538331422,Private room,20,1,63,4.3,1,348
Centro,Sol,40.418007243586395,-3.7032056001524003,Entire home/apt,110,1,0,0.0,2,119
Centro,Cortes,40.4156359621567,-3.70106723218418,Entire home/apt,70,2,201,4.37,23,281
Centro,Sol,40.4150329408933,-3.7071813294951097,Private room,49,2,62,5.04,2,61
Centro,Embajadores,40.408729100938004,-3.7096782229808,Private room,18,1,54,5.16,1,135
Centro,Universidad,40.4219938668267,-3.70710932323425,Entire home/apt,150,3,0,0.0,77,186
Chamberí,Vallehermoso,40.446705855377296,-3.7097631278202905,Private room,35,1,1,1.0,2,96
Centro,Sol,40.4174953151076,-3.7053534030653705,Entire home/apt,100,3,15,1.17,1,255
Chamartín,Nueva España,40.460752817556795,-3.6894672993497597,Private room,31,1,90,2.64,6,303
Salamanca,Guindalera,40.437341794747,-3.67229999693054,Entire home/apt,50,1,37,1.3,5,71
Salamanca,Guindalera,40.437754628700795,-3.6731354850651603,Private room,19,2,10,0.74,33,319
Moncloa - Aravaca,Ciudad Universitaria,40.4518987439356,-3.7160022929610403,Private room,30,1,0,0.0,4,0
Villaverde,Los Rosales,40.3463197925119,-3.6914400628437205,Private room,15,1,11,1.59,1,46
Centro,Embajadores,40.4103920885821,-3.6984109096831204,Entire home/apt,90,2,0,0.0,12,346
Chamartín,Prosperidad,40.446286827504395,-3.66180473074893,Entire home/apt,75,3,11,0.84,1,311
Salamanca,Lista,40.4296190363765,-3.6743450097920696,Private room,80,2,1,0.09,1,358
Fuencarral - El Pardo,Peñagrande,40.4810467465025,-3.7132055368150403,Entire home/apt,60,3,16,0.9,1,38
Centro,Palacio,40.4136960844489,-3.71118515888252,Entire home/apt,120,2,28,3.23,8,314
Centro,Universidad,40.4263899247996,-3.7120110422447206,Entire home/apt,82,2,0,0.0,145,56
Tetuán,Castillejos,40.457031713759896,-3.6962416135777403,Private room,45,1,0,0.0,1,0
Centro,Universidad,40.4225225945981,-3.7018302478146805,Entire home/apt,70,3,1,0.05,1,0
Centro,Palacio,40.4128231555575,-3.70748686530656,Entire home/apt,65,4,2,0.04,51,290
Latina,Aguilas,40.379463536934296,-3.78257736068995,Private room,26,2,85,3.5,1,271
Latina,Puerta del Angel,40.410695194286795,-3.73889232788113,Private room,18,1,28,3.43,6,156
Moncloa - Aravaca,Argüelles,40.4206721644375,-3.7152198384224504,Entire home/apt,99,1,0,0.0,2,0
Usera,Almendrales,40.3834683241867,-3.6951708667767202,Private room,15,2,4,2.14,1,78
Centro,Sol,40.4194318405304,-3.70132301146434,Entire home/apt,65,4,3,0.14,7,216
Salamanca,Lista,40.4314227665149,-3.6764198597942297,Entire home/apt,60,3,0,0.0,1,27
Chamartín,Prosperidad,40.444984544810794,-3.6684981639924596,Entire home/apt,130,2,14,1.3,2,301
Arganzuela,Palos de Moguer,40.40634441304729,-3.69222614407547,Private room,24,2,5,5.0,1,20
Arganzuela,Chopera,40.3942827048854,-3.6980608382111604,Private room,30,1,2,0.15,1,0
Centro,Universidad,40.42482622590121,-3.70690682741275,Private room,50,1,0,0.0,3,0
Chamberí,Trafalgar,40.436203672678204,-3.7008017640508197,Entire home/apt,95,2,4,0.25,145,338
Centro,Palacio,40.4140304541504,-3.71931840798214,Entire home/apt,60,1,0,0.0,1,0
Hortaleza,Valdefuentes,40.49503567602,-3.61558343174169,Entire home/apt,71,3,18,0.81,1,296
Moncloa - Aravaca,Argüelles,40.4314973347809,-3.71784418801073,Entire home/apt,70,1,11,2.36,1,18
Centro,Universidad,40.4281328438474,-3.7025135763192303,Entire home/apt,49,1,144,4.72,1,229
Chamartín,Ciudad Jardín,40.4425571042997,-3.67643221106354,Entire home/apt,145,2,2,0.15,1,92
Centro,Embajadores,40.4099859087488,-3.69912535913381,Entire home/apt,64,2,7,1.19,2,346
Chamberí,Trafalgar,40.4329315148179,-3.6995052843006597,Private room,35,1,10,0.33,1,365
Centro,Embajadores,40.406707494961296,-3.69776630252711,Entire home/apt,83,4,5,0.11,51,337
Puente de Vallecas,San Diego,40.3900349728779,-3.6706895495538903,Private room,40,1,0,0.0,1,89
Latina,Cármenes,40.4041263611253,-3.7396623299771603,Private room,15,1,5,0.28,8,357
Latina,Puerta del Angel,40.410105948189795,-3.7389016829749,Entire home/apt,64,1,80,6.2,1,279
Centro,Justicia,40.4223487434301,-3.6986613784059195,Private room,24,1,14,0.65,9,341
