neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Chamartín,Hispanoamérica,40.4540272916465,-3.6817786794086897,Entire home/apt,54,3,15,0.51,4,310
Centro,Palacio,40.4119281631537,-3.7098074286911897,Entire home/apt,70,3,27,0.46,1,218
Centro,Universidad,40.4220394584209,-3.70481126903787,Entire home/apt,85,3,58,0.98,1,203
Chamartín,Ciudad Jardín,40.4506133962006,-3.6740171792568903,Private room,50,3,9,0.18,2,282
Centro,Sol,40.4191667031851,-3.7062424930349795,Entire home/apt,75,4,14,0.44,51,309
Centro,Embajadores,40.4090944670677,-3.70045451816298,Entire home/apt,80,2,34,0.58,1,268
Centro,Universidad,40.4240845104931,-3.7038035940486003,Entire home/apt,81,4,13,0.44,51,300
Centro,Sol,40.4158769276817,-3.70200098682153,Entire home/apt,82,4,12,0.21,51,323
Centro,Embajadores,40.413040609518,-3.70567787545128,Entire home/apt,81,4,14,0.27,51,314
Centro,Sol,40.416444484819,-3.70222486447232,Entire home/apt,82,4,74,1.35,51,305
Arganzuela,Imperial,40.4044799097516,-3.7130469290157997,Private room,25,1,1,0.16,1,30
Moratalaz,Vinateros,40.4035723293642,-3.64273633503265,Private room,25,1,11,0.22,2,331
Centro,Embajadores,40.410413343026,-3.70039072049725,Entire home/apt,41,3,63,1.08,3,288
Centro,Cortes,40.4147641565847,-3.69363277044259,Entire home/apt,86,4,3,0.18,51,319
Centro,Embajadores,40.406707494961296,-3.69776630252711,Entire home/apt,83,4,5,0.11,51,337
Centro,Palacio,40.41960667984,-3.7096454060882,Private room,38,3,9,0.16,2,93
Centro,Embajadores,40.4067910051745,-3.70524580491902,Private room,30,3,15,0.35,1,244
Centro,Universidad,40.427079121779705,-3.7096677409604104,Entire home/apt,90,4,7,0.12,1,303
San Blas - Canillejas,Rosas,40.4300405892885,-3.60380303330944,Private room,25,3,14,0.24,1,362
Centro,Justicia,40.4210784923471,-3.69772988205993,Entire home/apt,88,4,26,0.72,51,289
Chamberí,Trafalgar,40.4308324441679,-3.70132655831044,Entire home/apt,88,5,3,0.1,51,283
Centro,Universidad,40.4259980304191,-3.7101141974708303,Entire home/apt,69,3,28,0.69,1,308
Centro,Cortes,40.4173438686241,-3.6954424951938796,Entire home/apt,150,2,136,2.47,1,168
Centro,Palacio,40.4120956351628,-3.70872102915641,Entire home/apt,69,2,100,1.81,1,325
Centro,Embajadores,40.406593827044894,-3.7068356937408002,Entire home/apt,50,4,150,2.57,2,288
Centro,Universidad,40.422248833333896,-3.70192606960121,Entire home/apt,120,4,3,0.06,1,38
Chamberí,Trafalgar,40.429812243639795,-3.7026087287319305,Entire home/apt,102,4,16,0.28,51,328
Centro,Embajadores,40.4107233626329,-3.69866171770786,Entire home/apt,70,2,43,0.75,1,146
Retiro,Estrella,40.4094010003666,-3.66522709144503,Entire home/apt,50,2,10,0.43,1,348
Retiro,Niño Jesús,40.4111464931187,-3.67108648851204,Entire home/apt,110,4,0,0.0,1,15
Centro,Cortes,40.411594164697,-3.69356485093467,Private room,50,3,18,1.57,1,51
Centro,Universidad,40.4239481949704,-3.70509456007962,Entire home/apt,119,4,3,0.11,51,285
Centro,Embajadores,40.411318812645796,-3.69913967717539,Entire home/apt,60,15,9,0.88,1,1
Ciudad Lineal,Concepción,40.4416363977484,-3.64900437818381,Entire home/apt,49,1,67,4.73,1,135
Chamberí,Rios Rosas,40.4401323412756,-3.6938822322792704,Private room,22,5,6,0.12,1,343
Vicálvaro,Ambroz,40.408242977864106,-3.6121890849894704,Private room,20,4,0,0.0,1,250
Centro,Universidad,40.4238527841439,-3.70085365424971,Entire home/apt,50,5,38,0.68,2,290
Latina,Cármenes,40.4039262512209,-3.7418237304567,Private room,17,2,14,0.26,2,281
Centro,Palacio,40.4132666103868,-3.71070907759003,Entire home/apt,42,2,43,3.03,1,328
Centro,Cortes,40.4151319447394,-3.6997002775332897,Private room,20,3,30,0.54,9,343
San Blas - Canillejas,Hellín,40.428552047384,-3.6147444189308398,Private room,20,1,8,0.16,6,344
Centro,Embajadores,40.411172893598206,-3.7039912912102206,Private room,40,2,4,0.11,1,217
Tetuán,Almenara,40.4714877347632,-3.6912815592028396,Entire home/apt,52,2,1,0.04,26,217
Tetuán,Almenara,40.4733498283406,-3.6915767031821094,Entire home/apt,67,2,4,0.08,26,227
Centro,Universidad,40.4284909974412,-3.70830002883587,Entire home/apt,70,2,23,0.46,26,205
Centro,Embajadores,40.4128928390351,-3.7006495038948,Entire home/apt,85,2,47,0.9,6,296
Centro,Sol,40.4159531747359,-3.70280775568966,Entire home/apt,108,3,42,0.75,6,323
Centro,Palacio,40.4104057925367,-3.71092202762486,Entire home/apt,59,2,39,1.25,2,119
Salamanca,Recoletos,40.428002139384105,-3.6864092180620096,Entire home/apt,61,1,135,2.33,4,319
Retiro,Pacífico,40.4049483726849,-3.67490290711226,Private room,19,2,1,0.02,1,0
Centro,Justicia,40.4224423574535,-3.6949634522674604,Private room,28,3,35,0.6,1,45
Ciudad Lineal,Colina,40.4621259165307,-3.66221456058926,Private room,40,5,0,0.0,1,365
Centro,Embajadores,40.4106031104873,-3.70819447110104,Private room,40,1,0,0.0,1,19
Centro,Justicia,40.42111479990571,-3.7000146239906,Entire home/apt,240,3,20,0.48,6,349
Tetuán,Almenara,40.47225825449,-3.6928490861404706,Entire home/apt,52,2,3,0.06,26,3
Tetuán,Almenara,40.4718813000451,-3.69211928285187,Entire home/apt,62,2,7,0.19,26,185
Arganzuela,Palos de Moguer,40.40119384117929,-3.6914066663785694,Private room,22,1,7,0.12,2,130
Tetuán,Almenara,40.4719427995197,-3.69278267683431,Entire home/apt,74,2,13,0.28,26,198
Tetuán,Almenara,40.4719975777618,-3.69310045105017,Entire home/apt,52,2,8,0.16,26,3
Centro,Universidad,40.4290389906013,-3.70845630562264,Entire home/apt,55,2,7,0.14,26,168
Centro,Embajadores,40.410188001016294,-3.70200883994569,Entire home/apt,45,2,144,2.48,2,338
Ciudad Lineal,Costillares,40.4692743074759,-3.6646747801771404,Entire home/apt,300,5,0,0.0,1,0
Centro,Embajadores,40.4065671334328,-3.70814444978488,Entire home/apt,75,5,32,0.66,26,146
Chamberí,Gaztambide,40.4353327064484,-3.71279969428946,Entire home/apt,40,14,4,0.1,1,0
Tetuán,Cuatro Caminos,40.4559058274248,-3.69626626430659,Private room,40,1,27,0.5,4,352
Tetuán,Cuatro Caminos,40.4552919680682,-3.6965366370644106,Private room,40,1,15,0.28,4,356
Tetuán,Cuatro Caminos,40.455732482238496,-3.69528095225416,Private room,40,1,43,1.1,4,354
Carabanchel,Vista Alegre,40.3862473482738,-3.7414696873274305,Entire home/apt,79,6,0,0.0,1,365
Centro,Universidad,40.427322912525895,-3.70890248178478,Entire home/apt,45,4,68,1.56,4,162
Moncloa - Aravaca,Argüelles,40.4259896525195,-3.71691339029904,Private room,38,3,35,0.65,1,310
Chamberí,Vallehermoso,40.446593102985,-3.70492156294306,Entire home/apt,75,1,0,0.0,5,365
Centro,Cortes,40.4145066584279,-3.70359109595627,Entire home/apt,95,3,8,0.14,6,319
Villa de Vallecas,Casco Histórico de Vallecas,40.3708130175104,-3.6139692787869198,Private room,50,7,1,0.04,1,89
Centro,Embajadores,40.4077518875485,-3.6959480913966902,Entire home/apt,60,2,30,0.74,1,309
Centro,Embajadores,40.4110335319093,-3.7020989645730604,Entire home/apt,65,3,139,2.45,1,321
Centro,Cortes,40.4141089368273,-3.69810024786485,Private room,30,2,115,1.99,1,320
Centro,Sol,40.4190865583272,-3.7075900921937697,Private room,60,2,27,0.59,4,328
Arganzuela,Delicias,40.39266517990921,-3.69328573499726,Private room,30,1,20,0.65,2,353
Salamanca,Goya,40.4233088830784,-3.66954932975025,Entire home/apt,100,5,28,0.66,3,275
Salamanca,Recoletos,40.423141752140495,-3.68951963334665,Entire home/apt,110,7,8,0.19,28,59
Arganzuela,Chopera,40.3942460872604,-3.69645318604404,Private room,23,4,8,0.16,25,349
Centro,Embajadores,40.40762469623579,-3.6993963364852402,Entire home/apt,55,2,110,3.28,1,115
Latina,Puerta del Angel,40.4098557727421,-3.7286928947784,Private room,20,2,146,2.79,1,35
Centro,Embajadores,40.409264460738,-3.70917756362894,Private room,35,2,33,0.87,1,231
Chamberí,Rios Rosas,40.4455030760238,-3.70382498406708,Private room,22,2,17,0.31,1,339
Centro,Universidad,40.427634277999,-3.70497524294819,Private room,30,3,0,0.0,1,0
Barajas,Casco Histórico de Barajas,40.473901516644,-3.57699180883205,Entire home/apt,78,1,142,2.59,3,124
Barajas,Casco Histórico de Barajas,40.4741853554229,-3.5764607429939503,Private room,37,2,63,1.14,3,360
Centro,Cortes,40.4146368109025,-3.69979459573995,Private room,35,2,12,0.22,2,107
Tetuán,Cuatro Caminos,40.4516972388181,-3.70037534794253,Entire home/apt,42,3,58,1.04,2,323
Centro,Embajadores,40.4108787486387,-3.6973991978661798,Entire home/apt,53,5,24,0.48,1,279
Salamanca,Guindalera,40.433965207696794,-3.66320121107324,Private room,130,1,0,0.0,4,0
Chamberí,Trafalgar,40.4318642003742,-3.70346029667949,Entire home/apt,50,2,56,1.03,1,326
Centro,Cortes,40.413613798075794,-3.6971549009897102,Entire home/apt,67,2,47,5.05,1,249
Arganzuela,Legazpi,40.3905030961765,-3.6876644413477098,Entire home/apt,63,3,47,0.87,1,286
Arganzuela,Palos de Moguer,40.401493620850395,-3.6982123660727697,Entire home/apt,55,1,5,0.16,2,0
