Source,Target,Weight
353786894,2789608612,1
213969309,321970500,1
516464106,17508484,1
394892872,1860220171,1
213969309,240628526,1
213969309,20431187,1
353786894,239172505,1
213969309,928131986,1
213969309,607281049,1
516464106,386884916,1
537951506,565817745,1
537951506,157775633,1
353786894,279031076,1
353786894,386420143,1
394892872,265941214,1
213969309,23658449,1
537951506,142204481,1
537951506,789491862700748800,1
537951506,94055625,1
507672047,191077155,1
394892872,1106693929,1
537951506,22571216,1
537951506,353786894,1
213969309,1536791610,1
516464106,583986793,1
516464106,2998277535,1
507672047,3261200112,1
516464106,287591107,1
262230432,23575595,1
262230432,1349354744536510471,1
394892872,68367000,1
214413743,55131390,1
214413743,112785317,1
516464106,120088875,1
516464106,54783895,1
213969309,83662371,1
902951244549038081,153060554,1
394892872,242286295,1
353786894,419805477,1
516464106,397306167,1
213969309,2255036665,1
537951506,290391563,1
537951506,309446385,1
213969309,1162302990,1
213969309,106514318,1
213969309,27195114,1
537951506,288477764,1
214413743,217461138,1
262230432,945446359,1
537951506,437547229,1
213969309,45578562,1
537951506,19977449,1
516464106,3025394476,1
213969309,63677189,1
537951506,256740776,1
537951506,229454266,1
213969309,18884840,1
213969309,204026449,1
353786894,266100407,1
516464106,54502344,1
262230432,558572709,1
353786894,1273343545060069376,1
537951506,1148837155,1
516464106,1120917445,1
537951506,14411230,1
537951506,148694726,1
394892872,1029821240846868480,1
537951506,140475562,1
537951506,2674597813,1
507672047,516464106,1
213969309,13049362,1
213969309,61610736,1
394892872,984755796717207553,1
213969309,537951506,1
537951506,607281049,1
213969309,17696167,1
214413743,498069043,1
213969309,44134229,1
353786894,382560919,1
213969309,394638650,1
213969309,518706144,1
214413743,18156837,1
516464106,884685206170607621,1
213969309,30180137,1
516464106,2359690465,1
353786894,549294141,1
262230432,331673810,1
214413743,22622572,1
516464106,814882453,1
213969309,28412286,1
262230432,30182732,1
353786894,518557386,1
213969309,205712533,1
213969309,30027830,1
516464106,28969669,1
902951244549038081,153381491,1
516464106,1243942145393917952,1
213969309,63253045,1
262230432,234374697,1
516464106,21474631,1
213969309,2814495064,1
537951506,390479483,1
507672047,318967677,1
214413743,40524721,1
213969309,2607843552,1
394892872,375759378,1
213969309,41170288,1
214413743,262230432,1
353786894,330886345,1
507672047,116504344,1
537951506,45578562,1
507672047,259925559,1
213969309,1292190259,1
537951506,17540485,1
214413743,538842246,1
213969309,167024999,1
394892872,437820244,1
214413743,323078638,1
537951506,153363070,1
902951244549038081,971035099499294722,1
213969309,526312332,1
516464106,1256177719165038594,1
213969309,548429062,1
516464106,23798078,1
902951244549038081,525208028,1
213969309,14499829,1
537951506,247204233,1
516464106,144255219,1
262230432,507672047,1
394892872,115044590,1
213969309,321385914,1
516464106,4140881832,1
353786894,170591249,1
353786894,83870452,1
214413743,111280097,1
213969309,181561712,1
516464106,4689112034,1
537951506,259227479,1
213969309,14580438,1
213969309,891305388,1
537951506,413383203,1
394892872,525208028,1
516464106,44196397,1
213969309,2178243216,1
516464106,18355475,1
353786894,14872237,1
394892872,20600235,1
214413743,226087776,1
353786894,37921477,1
537951506,304898642,1
516464106,301328028,1
537951506,20095109,1
394892872,170863272,1
537951506,3290081140,1
507672047,19226153,1
507672047,217461138,1
353786894,490756890,1
214413743,93819292,1
213969309,33558771,1
516464106,2467665067,1
213969309,319736890,1
214413743,45022448,1
213969309,907724522777989121,1
213969309,302301783,1
262230432,609548724,1
262230432,3447770417,1
353786894,519617918,1
537951506,322765094,1
537951506,309004715,1
537951506,162966403,1
213969309,102161627,1
516464106,563890459,1
516464106,28247294,1
262230432,431996598,1
213969309,151123001,1
213969309,214413743,1
214413743,48091346,1
537951506,108247668,1
213969309,123215085,1
353786894,259143595,1
213969309,20299922,1
353786894,62873433,1
353786894,342239570,1
516464106,802098030317080577,1
213969309,171682730,1
213969309,1329138481,1
213969309,19719076,1
516464106,786162303439740929,1
516464106,1464295423,1
516464106,605511043,1
516464106,38485549,1
537951506,55513910,1
213969309,1664433362,1
353786894,133733607,1
394892872,215326671,1
394892872,540102939,1
214413743,20707813,1
353786894,78502161,1
353786894,552561770,1
516464106,68674747,1
394892872,49391820,1
213969309,16461545,1
353786894,905718541,1
902951244549038081,1091070048,1
213969309,103036031,1
516464106,697751230270021632,1
262230432,473852181,1
537951506,45575696,1
262230432,1118549242258309121,1
537951506,831484050,1
213969309,1153530594,1
213969309,1379474377,1
516464106,32939851,1
516464106,2606914305,1
516464106,21044208,1
902951244549038081,432507102,1
213969309,913135650,1
213969309,16807528,1
537951506,183387449,1
213969309,43533226,1
537951506,173450474,1
507672047,262230432,1
537951506,320987486,1
394892872,554518537,1
516464106,814879913387900929,1
213969309,3573866235,1
213969309,534778486,1
213969309,138600717,1
353786894,304596944,1
516464106,718167032,1
353786894,20671787,1
507672047,110365072,1
537951506,38479974,1
537951506,272629831,1
213969309,495173305,1
394892872,432507102,1
213969309,39357383,1
