Source,Target,Type,Id,Weight
507672047,118921833,Undirected,7779,1
507672047,414248813,Undirected,7803,1
507672047,30969644,Undirected,7970,1
507672047,23440052,Undirected,8144,1
507672047,344634424,Undirected,8333,1
507672047,102789583,Undirected,8535,1
507672047,235910394,Undirected,8588,1
507672047,157055308,Undirected,8589,1
507672047,183310558,Undirected,8693,1
507672047,35117415,Undirected,9018,1
353786894,507672047,Undirected,6394,1
262230432,507672047,Undirected,6666,1
537951506,507672047,Undirected,8013,1
353786894,116504344,Undirected,7139,1
537951506,31209800,Undirected,7293,1
262230432,31209800,Undirected,8992,1
537951506,118921833,Undirected,6847,1
353786894,118921833,Undirected,8277,1
516464106,2882426554,Undirected,7643,1
262230432,321388777,Undirected,7682,1
537951506,321388777,Undirected,9037,1
516464106,45843783,Undirected,6299,1
353786894,226087776,Undirected,7318,1
213969309,226087776,Undirected,8882,1
537951506,226087776,Undirected,8940,1
516464106,1121441719,Undirected,8692,1
213969309,68367000,Undirected,7458,1
516464106,22622572,Undirected,8197,1
213969309,22622572,Undirected,8811,1
537951506,22622572,Undirected,8885,1
353786894,703581570,Undirected,6156,1
262230432,703581570,Undirected,7437,1
516464106,703581570,Undirected,8094,1
537951506,703581570,Undirected,8778,1
516464106,30969644,Undirected,7406,1
537951506,30969644,Undirected,8039,1
537951506,224201809,Undirected,7566,1
353786894,224201809,Undirected,8980,1
516464106,169248299,Undirected,8751,1
213969309,2471739785,Undirected,8042,1
537951506,60706671,Undirected,6273,1
353786894,60706671,Undirected,7678,1
516464106,455801373,Undirected,8623,1
537951506,413383203,Undirected,6678,1
353786894,413383203,Undirected,8093,1
516464106,413383203,Undirected,9058,1
537951506,402629721,Undirected,7610,1
353786894,402629721,Undirected,9023,1
537951506,110918338,Undirected,6150,1
353786894,110918338,Undirected,7552,1
262230432,18936161,Undirected,7451,1
537951506,18936161,Undirected,7781,1
516464106,24871896,Undirected,6526,1
213969309,24871896,Undirected,7101,1
537951506,24871896,Undirected,7184,1
353786894,24871896,Undirected,8611,1
537951506,1174486086,Undirected,7655,1
353786894,1174486086,Undirected,9062,1
537951506,64725596,Undirected,7756,1
353786894,64725596,Undirected,8164,1
213969309,121034444,Undirected,8721,1
353786894,134402553,Undirected,9063,1
262230432,20600235,Undirected,6309,1
516464106,20600235,Undirected,6965,1
213969309,20600235,Undirected,7581,1
537951506,20600235,Undirected,7646,1
353786894,20600235,Undirected,9059,1
537951506,1098828360,Undirected,6298,1
262230432,1098828360,Undirected,7990,1
353786894,368276033,Undirected,7221,1
262230432,368276033,Undirected,7524,1
516464106,368276033,Undirected,8190,1
213969309,368276033,Undirected,8796,1
537951506,368276033,Undirected,8876,1
262230432,267304766,Undirected,8634,1
213969309,179414795,Undirected,6119,1
537951506,179414795,Undirected,6195,1
353786894,179414795,Undirected,7604,1
516464106,246735213,Undirected,7511,1
353786894,24871778,Undirected,7100,1
516464106,24871778,Undirected,8069,1
537951506,24871778,Undirected,8757,1
213969309,414248813,Undirected,6804,1
262230432,414248813,Undirected,8578,1
353786894,45112524,Undirected,7182,1
213969309,45112524,Undirected,8756,1
537951506,45112524,Undirected,8824,1
262230432,412659618,Undirected,6448,1
