id,label,location,num_followers,num_followings,num_tweets,is_verified
335651862,SSaab45,"Austin, TX",35114,798,2785,False
234550196,garycatt48,UK,1170,980,963,False
21286325,GQ_France,Paris,421065,481,95279,True
17696167,Ludacris,"Atlanta, GA",11374434,316,22077,True
1146085999,grstaikos,Canada,227,99,1611,False
2412685876,TEAMHAM__44,,552,241,2562,False
1151091,ivanlda,"Woking, UK",7667,113,13754,False
832006631244316672,ripzR6,Nordrhein-Westfalen,8137,259,798,True
17071337,anberlin,"FLORIDA, USA",81285,9576,6361,True
74153895,Edjonesracing,"Miami, FL",6968,410,1053,True
2475985119,VMoineault,,109,133,58,False
803694179079458816,VP,,11166716,6,6537,True
76030567,BBCSPOTY,,45365,113,2858,True
3053277658,formulaart,Oxford,3986,638,6993,False
86221966,Nickishields,London,18495,2099,6242,True
207531430,jennyjonessnow,"Bristol, England",67483,746,2262,True
787446301961101312,teamlh44germany,Deutschland,1174,908,807,False
82724710,kamui_kobayashi,"Japan,Monaco,and the world....",197446,263,3441,True
571206183,LogitechG,https://support.logitech.com,755258,1784,25247,True
1018343204,ASTONN9,Paradise ,847,722,2808,False
1903346809,wearhausinc,"Berkeley, CA",1559,1204,2650,False
37342539,ditaeyewear,,167581,115,2922,False
2470554600,VidalesRacing,,4404,107,353,False
757979287790182400,circuitspa,"Francorchamps, Wallonia, BE",33704,766,10753,True
2221276261,DanTicktum,,14859,118,1261,False
40915934,sagekotsenburg,Park City,204346,956,7722,True
42893223,MattDeason,"Charlotte, NC",261,173,22902,False
14442916,BAFIC,,1322,1049,18664,False
376495795,ShaninaMShaik,On a plane ✈️,58198,331,11795,True
994741592,SoyMotor,,120062,287,104663,True
3058916672,lleytonhewitt,"Adelaide, South Australia",77587,154,986,True
54711948,El_Hormiguero,Madrid,2294347,301,41467,True
871490042,abracing73,Modena,9559,520,4586,False
563331028,herv_leclerc,,51,117,0,False
2255036665,theowalcott,,2296911,127,796,True
9740952,Cyroul,Here and there,4218,112,232,False
375721095,Breaking911,Nashville,907175,0,424,False
880087776,G33PERS,Porthcawl,277,1311,4217,False
1127984530529214464,LogitechGesport,,106847,503,5255,True
79412477,jazemanjaafar,Kuala Lumpur,5429,624,6160,False
503480566,Giadagianni1,,612,378,3,False
110977736,JamiroquaiHQ,"England, United Kingdom",80609,385,829,True
197314637,pechito37,"Cordoba, Argentina",116930,45,10032,True
2359476565,matshummels,Dortmund,2154087,188,1684,True
1314816266,eWRCresults,,23032,1544,32134,False
32959253,khloekardashian,,29416583,241,66453,True
736007630,TTrebb,New Worlds Edge,75560,948,23712,True
36783122,scottdixon9,"Indianapolis, IN",135697,330,4395,True
437547229,michel_denisot,Paris,445545,1277,6272,True
104249727,joejonas,,10074768,84,11119,True
171117515,KP24,,3761550,422,25069,True
3164353295,bombardierjets,Canada,20875,103,2712,True
717510974769528832,Rogue,,217330,638,27476,True
21044208,maxchilton,London - Est 1991,242173,341,5347,True
1354277102,freddie,,297499,49,369,True
159392055,madmike123_,New Zealand,22520,144,1832,False
1652460752,united4wildlife,,60340,680,4008,True
20707813,Macbethfootwear,,46993,357,7275,False
2907826757,uhSnoww,"London, England",26402,342,2180,False
25421094,Akon,,6205262,1,1749,True
938715168,GerrenPeterson,,1751,1059,39080,False
62122150,nellietellie,Bicester,1551,1055,10165,False
2455740283,MrBeast,Follow me for a cookie,11218228,1659,5040,True
77461238,jacki_man,Cornwall UK,735,3232,9630,False
